Start intersection ID,End intersection ID,Name of the road segment,Distance
39,9,LidhjaLezhes_XhamiaLlapit_Tjegullorja,9
39,9,LidhjaLezhes_XhamiaLlapit_VellezeritFazliu,9
39,9,LidhjaLezhes_XhamiaLlapit_Makovc,9
39,9,LidhjaLezhes_XhamiaLlapit_XhamiaLlapitTregu,9
11,9,Tjegullorja_XhamiaLlapit_VellezeritFazliu,53
11,9,Tjegullorja_XhamiaLlapit_Makovc,53
11,9,Tjegullorja_XhamiaLlapit_XhamiaLlapitTregu,53
11,9,Tjegullorja_XhamiaLlapit_LidhjaLezhes,53
40,9,VellezeritFazliu_XhamiaLlapit_Makovc,19
40,9,VellezeritFazliu_XhamiaLlapit_XhamiaLlapitTregu,19
40,9,VellezeritFazliu_XhamiaLlapit_LidhjaLezhes,19
40,9,VellezeritFazliu_XhamiaLlapit_Tjegullorja,19
38,9,Makovc_XhamiaLlapit_XhamiaLlapitTregu,12
38,9,Makovc_XhamiaLlapit_LidhjaLezhes,12
38,9,Makovc_XhamiaLlapit_Tjegullorja,12
38,9,Makovc_XhamiaLlapit_VellezeritFazliu,12
9,38,XhamiaLlapit_Makovc,12
9,39,XhamiaLlapit_LidhjaLezhes,9
9,40,XhamiaLlapit_VellezeritFazliu,19
41,10,IsmetKrasniqi_Vranjefc_AzizZhilivoda,9
41,10,IsmetKrasniqi_Vranjefc_Bardhosh,9
43,10,AzizZhilivoda_Vranjefc_Bardhosh,7
43,10,AzizZhilivoda_Vranjefc_IsmetKrasniqi,7
42,10,Bardhosh_Vranjefc_IsmetKrasniqi,8
42,10,Bardhosh_Vranjefc_AzizZhilivoda,8
10,41,Vranjefc_IsmetKrasniqi,9
10,42,Vranjefc_Bardhosh,8
10,43,Vranjefc_AzizZhilivoda,7
9,11,XhamiaLlapit_Tjegullorja_Vushtrria,53
9,11,XhamiaLlapit_Tjegullorja_Zagrebi,53
9,11,XhamiaLlapit_Tjegullorja_Plava,53
44,11,Zagrebi_Tjegullorja_Plava,9
44,11,Zagrebi_Tjegullorja_XhamiaLlapit,9
44,11,Zagrebi_Tjegullorja_Vushtrria,9
46,11,Plava_Tjegullorja_XhamiaLlapit,8
46,11,Plava_Tjegullorja_Vushtrria,8
46,11,Plava_Tjegullorja_Zagrebi,8
45,11,Vushtrria_Tjegullorja_Zagrebi,7
45,11,Vushtrria_Tjegullorja_Plava,7
45,11,Vushtrria_Tjegullorja_XhamiaLlapit,7
11,44,Tjegullorja_Zagrebi,9
11,45,Tjegullorja_Vushtrria,7
11,46,Tjegullorja_Plava,8
2,12,Katedralja_PTK_Katedralja,48
2,12,Katedralja_PTK_ImzotNikeprela,48
2,12,Katedralja_PTK_BulevardiDK,48
2,12,Katedralja_PTK_28Nentori,48
48,12,BulevardiDK_PTK_BulevardiDK,13
48,12,BulevardiDK_PTK_28Nentori,13
48,12,BulevardiDK_PTK_Katedralja,13
48,12,BulevardiDK_PTK_ImzotNikeprela,13
47,12,ImzotNikeprela_PTK_BulevardiDK,9
47,12,ImzotNikeprela_PTK_28Nentori,9
47,12,ImzotNikeprela_PTK_Katedralja,9
49,12,28Nentori_PTK_Katedralja,12
49,12,28Nentori_PTK_ImzotNikeprela,12
49,12,28Nentori_PTK_BulevardiDK,12
12,47,PTK_ImzotNikeprela,9
12,49,PTK_28Nentori,9
12,48,PTK_BulevardiDK,13
51,13,UCK_Lulishtja_FehmiAgani,12
51,13,UCK_Lulishtja_Tirana,12
51,13,UCK_Lulishtja_KolegjiRiinvest,12
53,13,Tirana_Lulishtja_KolegjiRiinvest,11
53,13,Tirana_Lulishtja_UCK,11
53,13,Tirana_Lulishtja_FehmiAgani,11
52,13,KolegjiRiinvest_Lulishtja_UCK,8
52,13,KolegjiRiinvest_Lulishtja_FehmiAgani,8
52,13,KolegjiRiinvest_Lulishtja_Tirana,8
50,13,FehmiAgani_Lulishtja_Tirana,12
50,13,FehmiAgani_Lulishtja_KolegjiRiinvest,12
50,13,FehmiAgani_Lulishtja_UCK,12
13,50,Lulishtja_FehmiAgani,12
13,51,Lulishtja_UCK,12
13,52,Lulishtja_KolegjiRiinvest,8
13,53,Lulishtja_Tirana,11
57,14,LuanHaradinaj_BQK_LuanHaradinaj,12
57,14,LuanHaradinaj_BQK_Grandi,12
57,14,LuanHaradinaj_BQK_UkshinHoti,12
57,14,LuanHaradinaj_BQK_Garibaldi,12
55,14,UkshinHoti_BQK_UkshinHoti,13
55,14,UkshinHoti_BQK_Garibaldi,13
55,14,UkshinHoti_BQK_LuanHaradinaj,13
54,14,Garibaldi_BQK_Garibaldi,12
54,14,Garibaldi_BQK_LuanHaradinaj,12
54,14,Garibaldi_BQK_Grandi,12
54,14,Garibaldi_BQK_UkshinHoti,12
56,14,Grandi_BQK_Grandi,12
56,14,Grandi_BQK_UkshinHoti,12
56,14,Grandi_BQK_Garibaldi,12
14,54,BQK_Garibaldi,12
14,55,BQK_UkshinHoti,13
14,56,BQK_Grandi,12
14,57,BQK_LuanHaradinaj,12
60,15,MuharremFejza_Eulexi_MuharremFejza,12
60,15,MuharremFejza_Eulexi_ErnestKoliqi,12
60,15,MuharremFejza_Eulexi_ArbenorEAstritDehari,12
59,15,ErnestKoliqi_Eulexi_ArbenorEAstritDehari,12
59,15,ErnestKoliqi_Eulexi_MuharremFejza,12
58,15,ArbenorEAstritDehari_Eulexi_ArbenorEAstritDehari,21
58,15,ArbenorEAstritDehari_Eulexi_MuharremFejza,21
58,15,ArbenorEAstritDehari_Eulexi_ErnestKoliqi,21
15,58,Eulexi_ArbenorEAstritDehari,21
15,59,Eulexi_ErnestKoliqi,12
15,60,Eulexi_MuharremFejza,12
2,16,Katedralja_Menza_Katedralja,35
2,16,Katedralja_Menza_MAShTI,35
2,16,Katedralja_Menza_Qerimi,35
2,16,Katedralja_Menza_Teknik,35
3,16,Teknik_Menza_Teknik,53
3,16,Teknik_Menza_Katedralja,53
3,16,Teknik_Menza_MAShTI,53
3,16,Teknik_Menza_Qerimi,53
4,16,Qerimi_Menza_Qerimi,30
4,16,Qerimi_Menza_Teknik,30
4,16,Qerimi_Menza_Katedralja,30
4,16,Qerimi_Menza_MAShTI,30
6,16,MAShTI_Menza_MAShTI,48
6,16,MAShTI_Menza_Qerimi,48
6,16,MAShTI_Menza_Teknik,48
6,16,MAShTI_Menza_Katedralja,48
63,17,HotelAdria_KomunaRe_Cacttus,13
63,17,HotelAdria_KomunaRe_AhmetKrasniqi,13
63,17,HotelAdria_KomunaRe_FeridCurri,13
61,17,AhmetKrasniqi_KomunaRe_FeridCurri,13
61,17,AhmetKrasniqi_KomunaRe_HotelAdria,13
61,17,AhmetKrasniqi_KomunaRe_Cacttus,13
62,17,Cacttus_KomunaRe_AhmetKrasniqi,10
62,17,Cacttus_KomunaRe_FeridCurri,10
62,17,Cacttus_KomunaRe_HotelAdria,10
64,17,FeridCurri_KomunaRe_HotelAdria,13
64,17,FeridCurri_KomunaRe_Cacttus,13
64,17,FeridCurri_KomunaRe_AhmetKrasniqi,13
17,61,KomunaRe_AhmetKrasniqi,13
17,62,KomunaRe_Cacttus,10
17,63,KomunaRe_HotelAdria,13
17,64,KomunaRe_FeridCurri,13
0,18,BillClinton_Lakrishte_TahirZajmi,25
19,18,TahirZajmi_Lakrishte_BillClinton,147
18,19,Lakrishte_TahirZajmi_TerminaliDoganor,147
20,19,TerminaliDoganor_TahirZajmi_Lakrishte,54
19,20,TahirZajmi_TerminaliDoganor_TahirZajmi,54
19,20,TahirZajmi_TerminaliDoganor_DeshmoretEPonoshecit,54
19,20,TahirZajmi_TerminaliDoganor_TreguIMadh,54
65,20,DeshmoretEPonoshecit_TerminaliDoganor_TreguIMadh,9
65,20,DeshmoretEPonoshecit_TerminaliDoganor_TahirZajmi,9
21,20,TreguIMadh_TerminaliDoganor_TahirZajmi,21
21,20,TreguIMadh_TerminaliDoganor_DeshmoretEPonoshecit,21
20,65,TerminaliDoganor_DeshmoretEPonoshecit,9
20,21,TerminaliDoganor_TreguIMadh_TerminaliDoganor,21
20,21,TerminaliDoganor_TreguIMadh_KlanKosova,21
20,21,TerminaliDoganor_TreguIMadh_ElezBerisha,21
66,21,KlanKosova_TreguIMadh_ElezBerisha,10
66,21,KlanKosova_TreguIMadh_TerminaliDoganor,10
22,21,ElezBerisha_TreguIMadh_TerminaliDoganor,93
22,21,ElezBerisha_TreguIMadh_KlanKosova,93
21,66,TreguIMadh_KlanKosova,10
21,22,TreguIMadh_ElezBerisha_TreguIMadh,93
21,22,TreguIMadh_ElezBerisha_Interex,93
21,22,TreguIMadh_ElezBerisha_RrugaEUglarit,93
67,22,Interex_ElezBerisha_RrugaEUglarit,9
67,22,Interex_ElezBerisha_TreguIMadh,9
23,22,RrugaEUglarit_ElezBerisha_TreguIMadh,27
23,22,RrugaEUglarit_ElezBerisha_Interex,27
22,67,ElezBerisha_Interex,9
22,23,ElezBerisha_RrugaEUglarit_KompleksiLinda3,27
22,23,ElezBerisha_RrugaEUglarit_ElezBerishai,27
22,23,ElezBerisha_RrugaEUglarit_HajrullahZymi,27
68,23,KompleksiLinda3_RrugaEUglarit_HajrullahZymi,10
68,23,KompleksiLinda3_RrugaEUglarit_ElezBerisha,10
24,23,HajrullahZymi_RrugaEUglarit_ElezBerisha,33
24,23,HajrullahZymi_RrugaEUglarit_KompleksiLinda3,3
23,68,RrugaEUglarit_KompleksiLinda3,10
23,24,RrugaEUglarit_HajrullahZymi_RrethiRrugaEPejes,33
23,24,RrugaEUglarit_HajrullahZymi_Dardania,33
70,24,Dardania_HajrullahZymi_RrugaEUglarit,9
70,24,Dardania_HajrullahZymi_RrethiRrugaEPejes,9
69,24,RrethiRrugaEPejes_HajrullahZymi_RrethiRrugaEPejes,45
69,24,RrethiRrugaEPejes_HajrullahZymi_Dardania,45
69,24,RrethiRrugaEPejes_HajrullahZymi_RrugaEUglarit,45
24,69,HajrullahZymi_RrethiRrugaEPejes,45
24,70,HajrullahZymi_Dardania,9
