,Intersection place,Start intersection ID,End intersection ID,Name of the road segment,car,long vehicle,bus,Total vehicles,Distance (m),Distance (s),Distance with intersection (s),Travel duration prediction (Fjolla),Start Laitude,Start Longitude,End Laitude,End Longitude,Name of the lane in SUMO,Name of the edge lane in SUMO,Name of the road segment in OpenStreetMap
45,Teknik,16,3,Menza_Teknik_FehmiLladrovci,83,,1,84,550,50,53,,42.654922,21.164106,42.650273,21.16483,,670227225#0,
46,Teknik,28,3,FehmiLladrovci_Teknik_FehmiLladrovci,0,,,0,170,16,19,,42.648902,21.163795,42.650273,21.16483,,,
47,Teknik,28,3,FehmiLladrovci_Teknik_Menza,85,3,,88,170,16,19,,42.648902,21.163795,42.650273,21.16483,,668979846,
48,Teknik,28,3,FehmiLladrovci_Teknik_Qerimi,50,1,2,53,170,16,19,,42.648902,21.163795,42.650273,21.16483,,668979846,
49,Teknik,28,3,FehmiLladrovci_Teknik_RrugaB,18,1,,19,170,16,19,,42.648902,21.163795,42.650273,21.16483,,668979846,
50,Teknik,5,3,RrugaB_Teknik_RrugaB,0,,,0,700,63,66,,42.649013,21.17265,42.650273,21.16483,,669006602#0,
51,Teknik,5,3,RrugaB_Teknik_FehmiLladrovci,25,,,25,700,63,66,,42.649013,21.17265,42.650273,21.16483,,670029695,
52,Teknik,5,3,RrugaB_Teknik_Menza,41,,1,42,700,63,66,,42.649013,21.17265,42.650273,21.16483,,670029695,
53,Teknik,5,3,RrugaB_Teknik_Qerimi,3,,,3,700,63,66,,42.649013,21.17265,42.650273,21.16483,,670029695,
54,Teknik,4,3,Qerimi_Teknik_Qerimi,0,,,0,500,45,48,,42.654076,21.167687,42.650273,21.16483,,810297600#0,
55,Teknik,4,3,Qerimi_Teknik_RrugaB,4,,,4,500,45,48,,42.654076,21.167687,42.650273,21.16483,,810297600#0,
56,Teknik,4,3,Qerimi_Teknik_FehmiLladrovci,38,,2,40,500,45,48,,42.654076,21.167687,42.650273,21.16483,,810297600#0,
57,Teknik,4,3,Qerimi_Teknik_Menza,3,,,3,500,45,48,,42.654076,21.167687,42.650273,21.16483,,810297600#0,
58,Teknik,3,28,Teknik_FehmiLladrovci,,,,0,170,16,19,,42.650273,21.16483,42.648902,21.163795,,741171106#0,
59,Qerimi,16,4,Menza_Qerimi_Menza,0,,,0,300,27,30,,42.654922,21.164106,42.654076,21.167687,,672144716,
